iteration,cost
552,120803317.44625095
553,120782554.23669912
554,120761826.52151622
555,120741133.92901884
556,120720476.09350897
557,120699852.65517384
558,120679263.2599883
559,120658707.55961789
560,120638185.21132421
561,120617695.87787168
562,120597239.22743577
563,120576814.93351293
564,120556422.67483205
565,120536062.13526718
566,120515733.0037521
567,120495434.97419612
568,120475167.74540102
569,120454931.02098018
570,120434724.50927801
571,120414547.92329179
572,120394400.98059414
573,120374283.40325692
574,120354194.9177766
575,120334135.25500087
576,120314104.15005618
577,120294101.3422768
578,120274126.57513507
579,120254179.59617278
580,120234260.1569333
581,120214368.01289578
582,120194502.92340945
583,120174664.65162973
584,120154852.96445507
585,120135067.63246483
586,120115308.42985846
587,120095575.13439555
588,120075867.52733691
589,120056185.39338632
590,120036528.52063411
591,120016896.70050061
592,119997289.72768143
593,119977707.4000929
594,119958149.51881962
595,119938615.88806091
596,119919106.31508051
597,119899620.61015533
598,119880158.58652548
599,119860720.06034628
600,119841304.85063916
601,119821912.77924469
602,119802543.67077625
603,119783197.35257432
604,119763873.65466091
605,119744572.4096962
606,119725293.45293446
607,119706036.62218161
608,119686801.75775295
609,119667588.70243187
610,119648397.30142958
611,119629227.4023446
612,119610078.85512377
613,119590951.51202363
614,119571845.22757225
615,119552759.85853209
616,119533695.26386322
617,119514651.30468681
618,119495627.84425028
619,119476624.74789186
620,119457641.88300647
621,119438679.11901186
622,119419736.32731548
623,119400813.38128184
624,119381910.15620016
625,119363026.52925318
626,119344162.37948568
627,119325317.58777444
628,119306492.03679766
629,119287685.61100604
630,119268898.19659309
631,119250129.68146715
632,119231379.95522316
633,119212648.90911463
634,119193936.43602726
635,119175242.43045147
636,119156566.7884567
637,119137909.40766536
638,119119270.18722731
639,119100649.02779523
640,119082045.83149987
641,119063460.50192577
642,119044892.94408776
643,119026343.0644076
644,119007810.77069072
645,118989295.97210415
646,118970798.57915372
647,118952318.50366259
648,118933855.65874968
649,118915409.95880875
650,118896981.31948714
651,118878569.65766583
652,118860174.89143904
653,118841796.94009475
654,118823435.72409488
655,118805091.1650566
656,118786763.18573338
657,118768451.70999622
658,118750156.66281609
659,118731877.97024535
660,118713615.55940057
661,118695369.3584455
662,118677139.2965734
663,118658925.30399083
664,118640727.31190102
665,118622545.25248769
666,118604379.05889915
667,118586228.66523285
668,118568094.00651951
669,118549975.01870851
670,118531871.6386528
671,118513783.80409415
672,118495711.4536488
673,118477654.52679363
674,118459612.96385162
675,118441586.70597878
676,118423575.69515012
677,118405579.8741469
678,118387599.18654327
679,118369633.57669355
680,118351682.98971967
681,118333747.37149869
682,118315826.66865058
683,118297920.82852647
684,118280029.79919653
685,118262153.52943866
686,118244291.96872674
687,118226445.06721966
688,118208612.77575032
689,118190795.04581462
690,118172991.82956086
691,118155203.07977901
692,118137428.74989079
693,118119668.79393929
694,118101923.16657886
695,118084191.82306544
696,118066474.71924686
697,118048771.81155331
698,118031083.05698802
699,118013408.41311795
700,117995747.8380649
701,117978101.29049632
702,117960468.72961704
703,117942850.11516024
704,117925245.40737902
705,117907654.56703831
706,117890077.55540635
707,117872514.33424677
708,117854964.86581104
709,117837429.11282983
710,117819907.03850614
711,117802398.60650724
712,117784903.78095755
713,117767422.52643113
714,117749954.80794463
715,117732500.59095006
716,117715059.8413282
717,117697632.52538118
718,117680218.60982649
719,117662818.06178944
720,117645430.8487977
721,117628056.93877396
722,117610696.30003025
723,117593348.90126158
724,117576014.7115396
725,117558693.70030697
726,117541385.8373712
727,117524091.09289896
728,117506809.43741053
729,117489540.84177367
730,117472285.27719872
731,117455042.71523292
732,117437813.1277548
733,117420596.48696941
734,117403392.76540259
735,117386201.93589659
736,117369023.97160442
737,117351858.84598508
738,117334706.53279907
739,117317567.00610326
740,117300440.24024615
741,117283326.20986383
742,117266224.88987452
743,117249136.25547501
744,117232060.28213574
745,117214996.94559658
746,117197946.22186272
747,117180908.08720033
748,117163882.51813257
749,117146869.49143544
750,117129868.98413396
751,117112880.97349788
752,117095905.43703844
753,117078942.35250406
754,117061991.69787675
755,117045053.45136863
756,117028127.59141804
757,117011214.09668614
758,116994312.94605352
759,116977424.11861657
760,116960547.59368408
761,116943683.3507742
762,116926831.36961089
763,116909991.63012092
764,116893164.11243033
765,116876348.79686193
766,116859545.66393138
767,116842754.69434507
768,116825975.8689967
769,116809209.16896434
770,116792454.57550752
771,116775712.07006477
772,116758981.63425037
773,116742263.24985199
774,116725556.89882773
775,116708862.56330352
776,116692180.2255709
777,116675509.86808385
778,116658851.4734567
779,116642205.02446137
780,116625570.50402525
781,116608947.8952286
782,116592337.18130206
783,116575738.3456245
784,116559151.37172092
785,116542576.24325977
786,116526012.94405097
787,116509461.45804389
788,116492921.76932488
789,116476393.86211544
790,116459877.72076976
791,116443373.32977334
792,116426880.67374025
793,116410399.73741163
794,116393930.50565366
795,116377472.96345532
796,116361027.09592722
797,116344592.88829893
798,116328170.32591763
799,116311759.3942464
800,116295360.07886207
801,116278972.36545369
802,116262596.2398211
803,116246231.68787259
804,116229878.69562392
805,116213537.24919622
806,116197207.33481467
807,116180888.9388069
808,116164582.04760121
809,116148286.6477253
810,116132002.7258046
811,116115730.26856096
812,116099469.26281103
813,116083219.69546486
814,116066981.55352484
815,116050754.8240835
816,116034539.49432318
817,116018335.55151372
818,116002142.98301192
819,115985961.77625978
820,115969791.91878329
821,115953633.39819144
822,115937486.20217454
