epoch,cost
468,2708020834.475225
469,2708020834.4752254
470,2708020834.475225
471,2708020834.4752254
472,2708020834.475225
473,2708020834.4752254
474,2708020834.475225
475,2708020834.4752254
476,2708020834.475225
477,2708020834.4752254
478,2708020834.475225
479,2708020834.4752254
480,2708020834.475225
481,2708020834.4752254
482,2708020834.475225
483,2708020834.4752254
484,2708020834.475225
485,2708020834.4752254
486,2708020834.475225
487,2708020834.4752254
488,2708020834.475225
489,2708020834.4752254
490,2708020834.475225
491,2708020834.4752254
492,2708020834.475225
493,2708020834.4752254
494,2708020834.475225
495,2708020834.4752254
496,2708020834.475225
497,2708020834.4752254
498,2708020834.475225
499,2708020834.4752254
500,2708020834.475225
501,2708020834.4752254
502,2708020834.475225
503,2708020834.4752254
504,2708020834.475225
505,2708020834.4752254
506,2708020834.475225
507,2708020834.4752254
508,2708020834.475225
509,2708020834.4752254
510,2708020834.475225
511,2708020834.4752254
512,2708020834.475225
513,2708020834.4752254
514,2708020834.475225
515,2708020834.4752254
516,2708020834.475225
517,2708020834.4752254
518,2708020834.475225
519,2708020834.4752254
520,2708020834.475225
521,2708020834.4752254
522,2708020834.475225
523,2708020834.4752254
524,2708020834.475225
525,2708020834.4752254
526,2708020834.475225
527,2708020834.4752254
528,2708020834.475225
529,2708020834.4752254
530,2708020834.475225
531,2708020834.4752254
532,2708020834.475225
533,2708020834.4752254
534,2708020834.475225
535,2708020834.4752254
536,2708020834.475225
537,2708020834.4752254
538,2708020834.475225
539,2708020834.4752254
540,2708020834.475225
541,2708020834.4752254
542,2708020834.475225
543,2708020834.4752254
544,2708020834.475225
545,2708020834.4752254
546,2708020834.475225
547,2708020834.4752254
548,2708020834.475225
549,2708020834.4752254
550,2708020834.475225
551,2708020834.4752254
552,2708020834.475225
553,2708020834.4752254
554,2708020834.475225
555,2708020834.4752254
556,2708020834.475225
557,2708020834.4752254
558,2708020834.475225
559,2708020834.4752254
560,2708020834.475225
561,2708020834.4752254
562,2708020834.475225
563,2708020834.4752254
564,2708020834.475225
565,2708020834.4752254
566,2708020834.475225
567,2708020834.4752254
568,2708020834.475225
569,2708020834.4752254
570,2708020834.475225
571,2708020834.4752254
572,2708020834.475225
573,2708020834.4752254
574,2708020834.475225
575,2708020834.4752254
576,2708020834.475225
577,2708020834.4752254
578,2708020834.475225
579,2708020834.4752254
580,2708020834.475225
581,2708020834.4752254
582,2708020834.475225
583,2708020834.4752254
584,2708020834.475225
585,2708020834.4752254
586,2708020834.475225
587,2708020834.4752254
588,2708020834.475225
589,2708020834.4752254
590,2708020834.475225
591,2708020834.4752254
592,2708020834.475225
593,2708020834.4752254
594,2708020834.475225
595,2708020834.4752254
596,2708020834.475225
597,2708020834.4752254
598,2708020834.475225
599,2708020834.4752254
600,2708020834.475225
601,2708020834.4752254
602,2708020834.475225
603,2708020834.4752254
604,2708020834.475225
605,2708020834.4752254
606,2708020834.475225
607,2708020834.4752254
608,2708020834.475225
609,2708020834.4752254
610,2708020834.475225
611,2708020834.4752254
612,2708020834.475225
613,2708020834.4752254
614,2708020834.475225
615,2708020834.4752254
616,2708020834.475225
617,2708020834.4752254
618,2708020834.475225
619,2708020834.4752254
620,2708020834.475225
621,2708020834.4752254
622,2708020834.475225
623,2708020834.4752254
