epoch,cost
548,93233460.68290874
549,93233460.68057841
550,93233460.67832321
551,93233460.67614071
552,93233460.67402864
553,93233460.67198476
554,93233460.67000669
555,93233460.66809255
556,93233460.66624017
557,93233460.66444744
558,93233460.66271256
559,93233460.66103363
560,93233460.65940896
561,93233460.6578366
562,93233460.65631506
563,93233460.65484259
564,93233460.65341751
565,93233460.65203853
566,93233460.65070404
567,93233460.64941248
568,93233460.64816274
569,93233460.64695325
570,93233460.6457827
571,93233460.64464994
572,93233460.6435538
573,93233460.64249282
574,93233460.64146635
575,93233460.64047286
576,93233460.6395114
577,93233460.63858096
578,93233460.63768059
579,93233460.63680919
580,93233460.63596593
581,93233460.63514993
582,93233460.63436009
583,93233460.63359578
584,93233460.63285619
585,93233460.63214052
586,93233460.63144793
587,93233460.6307776
588,93233460.6301288
589,93233460.62950115
590,93233460.62889355
591,93233460.62830555
592,93233460.62773673
593,93233460.62718621
594,93233460.62665334
595,93233460.6261378
596,93233460.62563883
597,93233460.62515576
598,93233460.62468843
599,93233460.62423633
600,93233460.62379858
601,93233460.62337507
602,93233460.62296523
603,93233460.62256844
604,93233460.62218477
605,93233460.62181324
606,93233460.62145358
607,93233460.62110583
608,93233460.62076911
609,93233460.62044318
610,93233460.62012796
611,93233460.6198229
612,93233460.61952756
613,93233460.61924182
614,93233460.61896522
615,93233460.61869763
616,93233460.61843862
617,93233460.61818796
618,93233460.61794533
619,93233460.61771066
620,93233460.6174836
621,93233460.61726364
622,93233460.617051
623,93233460.61684512
624,93233460.61664589
625,93233460.61645308
626,93233460.6162665
627,93233460.61608596
628,93233460.61591125
629,93233460.61574204
630,93233460.61557847
631,93233460.6154201
632,93233460.6152667
633,93233460.61511841
634,93233460.614975
635,93233460.614836
636,93233460.6147016
637,93233460.61457151
638,93233460.61444561
639,93233460.61432374
640,93233460.61420599
641,93233460.61409175
642,93233460.61398146
643,93233460.6138746
644,93233460.61377119
645,93233460.61367105
646,93233460.6135742
647,93233460.6134805
648,93233460.61338982
649,93233460.61330211
650,93233460.61321713
651,93233460.6131349
652,93233460.61305524
653,93233460.61297838
654,93233460.6129038
655,93233460.61283176
656,93233460.61276205
657,93233460.61269446
658,93233460.61262918
659,93233460.61256608
660,93233460.6125048
661,93233460.61244549
662,93233460.61238816
663,93233460.61233276
664,93233460.61227912
665,93233460.61222725
666,93233460.61217695
667,93233460.61212832
668,93233460.61208111
669,93233460.61203557
670,93233460.61199148
671,93233460.6119489
672,93233460.61190769
673,93233460.61186753
674,93233460.61182894
675,93233460.61179157
676,93233460.61175534
677,93233460.61172028
678,93233460.61168645
679,93233460.61165355
680,93233460.61162183
681,93233460.611591
682,93233460.61156125
683,93233460.61153254
684,93233460.61150473
685,93233460.61147778
686,93233460.61145158
687,93233460.61142643
688,93233460.61140195
689,93233460.61137833
690,93233460.61135553
691,93233460.61133339
692,93233460.6113119
693,93233460.61129117
694,93233460.6112711
695,93233460.61125162
696,93233460.6112328
697,93233460.61121476
698,93233460.6111971
699,93233460.61118005
700,93233460.6111636
701,93233460.61114755
702,93233460.61113216
703,93233460.61111726
704,93233460.6111029
705,93233460.61108884
706,93233460.61107525
707,93233460.61106223
708,93233460.61104956
709,93233460.61103722
710,93233460.61102532
711,93233460.61101387
712,93233460.61100282
713,93233460.61099195
714,93233460.61098164
715,93233460.61097148
716,93233460.61096172
717,93233460.6109522
718,93233460.61094306
719,93233460.6109343
720,93233460.6109258
721,93233460.61091746
722,93233460.61090945
723,93233460.61090158
724,93233460.61089426
725,93233460.61088693
726,93233460.61087985
727,93233460.61087304
728,93233460.61086647
729,93233460.61086021
730,93233460.61085401
731,93233460.61084804
732,93233460.61084221
733,93233460.61083657
734,93233460.61083125
735,93233460.61082603
736,93233460.610821
737,93233460.61081605
738,93233460.61081134
739,93233460.61080669
740,93233460.61080232
741,93233460.6107979
742,93233460.61079375
743,93233460.61078972
744,93233460.61078599
745,93233460.61078222
746,93233460.6107786
747,93233460.61077511
748,93233460.61077163
749,93233460.61076835
750,93233460.61076513
751,93233460.61076204
752,93233460.61075908
753,93233460.61075607
754,93233460.61075328
755,93233460.61075059
756,93233460.61074786
757,93233460.61074539
758,93233460.61074293
759,93233460.61074057
760,93233460.61073822
761,93233460.61073591
762,93233460.61073382
763,93233460.61073172
764,93233460.61072974
765,93233460.61072783
766,93233460.61072595
767,93233460.61072412
768,93233460.61072232
769,93233460.61072056
770,93233460.61071895
771,93233460.61071736
772,93233460.61071587
773,93233460.61071426
774,93233460.61071286
775,93233460.61071147
776,93233460.61071002
777,93233460.61070886
778,93233460.61070752
779,93233460.61070615
780,93233460.61070509
781,93233460.61070386
782,93233460.61070266
783,93233460.61070164
784,93233460.6107007
785,93233460.61069962
786,93233460.61069863
787,93233460.61069767
788,93233460.61069681
789,93233460.61069582
790,93233460.61069502
791,93233460.61069416
792,93233460.61069338
793,93233460.61069264
794,93233460.61069182
795,93233460.61069104
796,93233460.61069041
797,93233460.61068977
798,93233460.61068907
799,93233460.61068851
800,93233460.61068772
801,93233460.61068721
802,93233460.6106866
803,93233460.61068602
804,93233460.61068551
805,93233460.61068502
806,93233460.61068448
807,93233460.610684
808,93233460.61068359
809,93233460.610683
810,93233460.6106826
811,93233460.61068213
812,93233460.6106817
813,93233460.61068125
814,93233460.61068092
815,93233460.61068043
816,93233460.6106802
817,93233460.61067992
818,93233460.61067958
819,93233460.61067922
820,93233460.61067893
821,93233460.61067857
822,93233460.61067833
823,93233460.610678
824,93233460.61067767
825,93233460.61067738
826,93233460.61067712
827,93233460.61067687
828,93233460.61067666
829,93233460.61067641
830,93233460.61067611
831,93233460.61067593
832,93233460.61067566
833,93233460.61067554
834,93233460.6106753
835,93233460.61067514
836,93233460.6106749
837,93233460.61067474
838,93233460.61067452
839,93233460.6106743
840,93233460.61067414
841,93233460.610674
842,93233460.61067382
843,93233460.6106737
844,93233460.61067344
845,93233460.61067334
846,93233460.61067311
847,93233460.61067304
848,93233460.61067294
849,93233460.61067285
850,93233460.61067274
851,93233460.61067261
852,93233460.61067253
853,93233460.61067243
854,93233460.61067231
855,93233460.6106722
856,93233460.61067219
857,93233460.61067204
858,93233460.61067195
859,93233460.61067188
860,93233460.61067177
861,93233460.61067171
862,93233460.61067156
863,93233460.61067149
864,93233460.61067143
865,93233460.61067133
866,93233460.6106713
867,93233460.6106712
868,93233460.61067112
869,93233460.61067107
870,93233460.61067104
871,93233460.61067092
872,93233460.61067091
873,93233460.61067085
874,93233460.61067083
875,93233460.61067076
876,93233460.61067067
877,93233460.61067064
878,93233460.61067057
879,93233460.61067057
880,93233460.61067049
881,93233460.61067043
882,93233460.61067036
883,93233460.61067033
884,93233460.61067025
885,93233460.61067027
886,93233460.61067018
887,93233460.6106702
888,93233460.61067013
889,93233460.61067015
890,93233460.61067012
891,93233460.61067003
892,93233460.61067005
893,93233460.61067007
894,93233460.61067006
895,93233460.61067002
896,93233460.61066994
897,93233460.61066991
898,93233460.61066996
899,93233460.61066993
900,93233460.61066996
901,93233460.6106699
902,93233460.61066988
903,93233460.61066993
904,93233460.61066982
905,93233460.61066985
906,93233460.61066987
907,93233460.61066985
908,93233460.61066988
909,93233460.61066985
910,93233460.61066982
911,93233460.61066982
912,93233460.61066984
913,93233460.61066982
914,93233460.6106698
915,93233460.61066982
916,93233460.61066978
917,93233460.61066975
918,93233460.61066976
919,93233460.61066976
920,93233460.61066979
921,93233460.61066979
922,93233460.61066973
923,93233460.61066973
924,93233460.61066978
925,93233460.6106697
926,93233460.61066976
927,93233460.61066975
928,93233460.61066972
929,93233460.61066967
930,93233460.6106697
931,93233460.6106697
932,93233460.6106697
933,93233460.61066969
934,93233460.6106697
935,93233460.61066967
936,93233460.6106697
937,93233460.61066964
938,93233460.6106697
939,93233460.61066972
940,93233460.61066964
941,93233460.61066973
942,93233460.6106697
943,93233460.6106697
944,93233460.61066967
945,93233460.61066973
946,93233460.61066969
947,93233460.61066973
948,93233460.61066969
949,93233460.61066973
950,93233460.61066967
951,93233460.6106697
952,93233460.61066972
953,93233460.61066973
954,93233460.61066967
955,93233460.6106697
956,93233460.6106697
957,93233460.6106697
958,93233460.61066973
959,93233460.6106697
960,93233460.61066961
961,93233460.61066964
962,93233460.61066972
963,93233460.61066961
964,93233460.61066966
965,93233460.61066967
966,93233460.61066967
967,93233460.61066966
968,93233460.61066969
969,93233460.61066967
970,93233460.61066963
971,93233460.61066967
972,93233460.61066964
973,93233460.61066964
974,93233460.61066967
975,93233460.61066972
976,93233460.6106697
977,93233460.61066967
978,93233460.6106697
979,93233460.61066969
980,93233460.61066967
981,93233460.61066966
982,93233460.61066967
983,93233460.61066967
984,93233460.61066967
985,93233460.61066966
986,93233460.61066967
987,93233460.61066967
988,93233460.61066966
989,93233460.61066967
990,93233460.61066967
991,93233460.61066966
992,93233460.61066967
993,93233460.61066967
994,93233460.61066966
995,93233460.61066967
996,93233460.61066967
997,93233460.61066966
998,93233460.61066967
999,93233460.61066967
1000,93233460.61066966
