iteration,cost
400,2346617950.430974
401,2346593474.1705904
402,2346569343.3701
403,2346545553.152243
404,2346522098.70864
405,2346498975.298818
406,2346476178.2492557
407,2346453702.9524326
408,2346431544.8658996
409,2346409699.5113564
410,2346388162.47375
411,2346366929.4003763
412,2346345996.0000043
413,2346325358.0420003
414,2346305011.355482
415,2346284951.8284636
416,2346265175.4070296
417,2346245678.0945168
418,2346226455.9506993
419,2346207505.0909934
420,2346188821.685676
421,2346170401.959103
422,2346152242.1889467
423,2346134338.7054505
424,2346116687.8906713
425,2346099286.1777625
426,2346082130.0502443
427,2346065216.0412908
428,2346048540.733034
429,2346032100.755871
430,2346015892.787777
431,2345999913.55364
432,2345984159.824594
433,2345968628.417367
434,2345953316.193637
435,2345938220.0593953
436,2345923336.9643254
437,2345908663.9011803
438,2345894197.905176
439,2345879936.053393
440,2345865875.464182
441,2345852013.296586
442,2345838346.749761
443,2345824873.062411
444,2345811589.512228
445,2345798493.415344
446,2345785582.1257854
447,2345772853.034941
448,2345760303.5710287
449,2345747931.1985817
450,2345735733.417931
451,2345723707.7647038
452,2345711851.809319
453,2345700163.1565013
454,2345688639.4447956
455,2345677278.3460865
456,2345666077.5651307
457,2345655034.8390913
458,2345644147.9370794
459,2345633414.659703
460,2345622832.8386254
461,2345612400.336121
462,2345602115.044648
463,2345591974.88642
464,2345581977.812983
465,2345572121.804808
466,2345562404.8708754
467,2345552825.048277
468,2345543380.4018154
469,2345534069.0236163
470,2345524889.032741
471,2345515838.5748057
472,2345506915.8216057
473,2345498118.9707465
474,2345489446.2452793
475,2345480895.893346
476,2345472466.1878147
477,2345464155.425939
478,2345455961.9290123
479,2345447884.042025
480,2345439920.1333323
481,2345432068.594324
482,2345424327.8391013
483,2345416696.304151
484,2345409172.4480314
485,2345401754.7510657
486,2345394441.7150264
487,2345387231.862838
488,2345380123.7382755
489,2345373115.9056735
490,2345366206.9496317
491,2345359395.474731
492,2345352680.1052494
493,2345346059.48489
494,2345339532.276494
495,2345333097.161787
496,2345326752.841099
497,2345320498.0331063
498,2345314331.4745755
499,2345308251.9201035
500,2345302258.141866
501,2345296348.9293747
502,2345290523.0892234
503,2345284779.4448566
504,2345279116.8363233
505,2345273534.120048
506,2345268030.1685977
507,2345262603.8704524
