step,alpha_1e-05,alpha_0.0001,alpha_0.001
176,2620165085.5307364,175222507.7443093,2.530858179278553e+42
177,2596800312.6025243,174400564.39312878,3.850916262691062e+42
178,2573726422.420538,173592560.26244426,5.859497060592238e+42
179,2550939305.633739,172798249.1781021,8.915723807272909e+42
180,2528434924.9159584,172017389.36723065,1.3566033088774776e+43
181,2506209313.1706467,171249743.37871957,2.0641874708546458e+43
182,2484258571.797304,170495078.00515324,3.140837035374001e+43
183,2462578869.017117,169753164.2061706,4.77905104166365e+43
184,2441166438.2553864,169023777.03322512,7.27173317227099e+43
185,2420017576.5784674,168306695.55571765,1.1064561325609695e+44
186,2399128643.183027,167601702.7884786,1.6835672380693807e+44
187,2378496057.9355235,166908585.62057117,2.5616909353108757e+44
188,2358116299.959891,166227134.74539462,3.897830926894932e+44
189,2337985906.2715225,165557144.59206092,5.930881717709957e+44
190,2318101470.4556894,164898413.25802213,9.024341642619015e+44
191,2298459641.3886623,164250742.4429249,1.3731304375794057e+45
192,2279057121.99982,163613937.3836709,2.0893349047230983e+45
193,2259890668.0731673,162987806.7906577,3.179100997709723e+45
194,2240957087.0866704,162372162.78518257,4.837272919143813e+45
195,2222253237.087973,161766820.83798376,7.360322717378051e+45
196,2203776025.6050553,161171599.70890072,1.1199357863302069e+46
197,2185522408.5904794,160586321.3876323,1.7040776792866762e+46
198,2167489389.397933,160010811.03557193,2.59289931841402e+46
199,2149674017.7898126,159444896.9287002,3.945317139677682e+46
200,2132073388.9746702,158888410.40151677,6.003136034666915e+46
201,2114684642.6733685,158341185.79198965,9.134282739475932e+46
202,2097504962.2128685,157803060.3875067,1.3898589117898831e+47
203,2080531573.6465824,157273874.37180755,2.1147887029305903e+47
204,2063761744.9003022,156753470.7728807,3.217831119479104e+47
205,2047192784.94275,156241695.41180658,4.8962040979031964e+47
206,2030822042.9798028,155738396.8525292,7.449991524789749e+47
207,2014646907.6715448,155243426.35254028,1.1335796590507337e+48
208,1998664806.3712752,154756637.81445774,1.7248379936242184e+48
209,1982873204.385675,154277887.73848468,2.6244879047503005e+48
210,1967269604.255348,153807035.17572907,3.993381864060016e+48
211,1951851545.0550067,153343941.6823717,6.076270606292123e+48
212,1936616601.7125735,152888471.2746649,9.245563218778313e+48
213,1921562384.3465223,152440490.3847482,1.406791184446416e+49
214,1906686537.620807,151999867.81726408,2.1405525978304426e+49
215,1891986740.1167462,151566474.70676127,3.2570330797755866e+49
216,1877460703.7212598,151140184.47587004,4.955853219166136e+49
217,1863106173.0308812,150720872.79423544,7.540752742864863e+49
218,1848920924.7709935,150308417.5381947,1.1473897513573187e+50
219,1834902767.229762,149902698.7511854,1.7458512252181963e+50
220,1821049539.706237,149503598.60487095,2.656461326232182e+50
221,1807359111.97216,149111001.3609699,4.042032147891237e+50
222,1793829383.7469888,148724793.33377713,6.1502961564885345e+50
223,1780458284.1856997,148344862.85336295,9.358199397857795e+50
